

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

,Sell,6/7/2018 11:00,LX1,$3423.50,,$150.00,$5840.80,,($70.00),69.29%,47.24%,$0.70,$1.00
72,Buy,6/6/2018 10:00,LE2,$3409.25,$0.00,4,$278.20,0.42%,$480.00,75.59%,,$1.40,$2.00
,Sell,6/7/2018 11:00,LX2,$3423.50,,$285.00,$6119.00,,($155.00),69.29%,44.88%,$1.40,$2.00
73,Buy,6/6/2018 10:15,LE3,$3404.75,$0.00,4,$368.20,0.55%,$570.00,89.76%,,$1.40,$2.00
,Sell,6/7/2018 11:00,LX3,$3423.50,,$375.00,$6487.20,,($65.00),69.29%,59.06%,$1.40,$2.00
74,Buy,6/12/2018 14:15,LE1,$3441.25,$0.00,2,($68.40),-0.19%,$0.00,0.00%,,$0.70,$1.00
,Sell,6/12/2018 14:45,LX1,$3434.75,,($65.00),$6418.80,,($70.00),7.14%,-92.86%,$0.70,$1.00
75,Buy,6/12/2018 14:30,LE2,$3438.50,$0.00,4,($81.80),-0.11%,$5.00,5.56%,,$1.40,$2.00
,Sell,6/12/2018 14:45,LX2,$3434.75,,($75.00),$6337.00,,($85.00),11.11%,-83.33%,$1.40,$2.00
76,Buy,6/14/2018 12:30,LE1,$3438.50,$0.00,2,($48.40),-0.13%,$22.50,31.03%,,$0.70,$1.00
,Sell,6/14/2018 15:15,LX1,$3434.00,,($45.00),$6288.60,,($50.00),6.90%,-62.07%,$0.70,$1.00
77,Buy,6/14/2018 12:45,LE2,$3436.25,$0.00,4,($51.80),-0.07%,$90.00,62.07%,,$1.40,$2.00
,Sell,6/14/2018 15:15,LX2,$3434.00,,($45.00),$6236.80,,($55.00),6.90%,-31.03%,$1.40,$2.00
78,Buy,6/14/2018 13:00,LE3,$3436.25,$0.00,4,($51.80),-0.07%,$90.00,62.07%,,$1.40,$2.00
,Sell,6/14/2018 15:15,LX3,$3434.00,,($45.00),$6185.00,,($55.00),6.90%,-31.03%,$1.40,$2.00
79,Buy,6/29/2018 10:00,LE1,$3387.00,$0.00,2,($38.40),-0.10%,$82.50,61.11%,,$0.70,$1.00
,Sell,6/29/2018 15:45,LX1,$3383.50,,($35.00),$6146.60,,($52.50),12.96%,-25.93%,$0.70,$1.00
80,Buy,6/29/2018 10:15,LE2,$3386.00,$0.00,2,($28.40),-0.07%,$92.50,68.52%,,$0.70,$1.00
,Sell,6/29/2018 15:45,LX2,$3383.50,,($25.00),$6118.20,,($42.50),12.96%,-18.52%,$0.70,$1.00
81,Buy,6/29/2018 10:30,LE3,$3385.00,$0.00,4,($36.80),-0.04%,$205.00,75.93%,,$1.40,$2.00
,Sell,6/29/2018 15:45,LX3,$3383.50,,($30.00),$6081.40,,($65.00),12.96%,-11.11%,$1.40,$2.00
82,Buy,7/3/2018 09:45,LE1,$3386.25,$0.00,2,($145.90),-0.42%,$15.00,9.52%,,$0.70,$1.00
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($142.50),$5935.50,,($142.50),0.00%,-90.48%,$0.70,$1.00
83,Buy,7/3/2018 10:00,LE2,$3384.50,$0.00,2,($128.40),-0.37%,$32.50,20.63%,,$0.70,$1.00
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($125.00),$5807.10,,($125.00),0.00%,-79.37%,$0.70,$1.00
84,Buy,7/3/2018 10:15,LE3,$3383.75,$0.00,4,($241.80),-0.35%,$50.00,17.54%,,$1.40,$2.00
,Sell,7/3/2018 12:45,PosRiskLX,$3372.00,,($235.00),$5565.30,,($235.00),0.00%,-82.46%,$1.40,$2.00
85,Buy,7/5/2018 09:45,LE1,$3379.25,$0.00,2,($43.40),-0.12%,$32.50,43.33%,,$0.70,$1.00
,Sell,7/5/2018 10:15,LX1,$3375.25,,($40.00),$5521.90,,($42.50),3.33%,-53.33%,$0.70,$1.00
86,Buy,7/5/2018 10:00,LE2,$3379.00,$0.00,2,($40.90),-0.11%,$10.00,20.00%,,$0.70,$1.00
,Sell,7/5/2018 10:15,LX2,$3375.25,,($37.50),$5481.00,,($40.00),5.00%,-75.00%,$0.70,$1.00
87,Buy,7/6/2018 10:00,LE1,$3391.50,$0.00,2,$476.60,1.42%,$560.00,94.51%,,$0.70,$1.00
,Sell,7/10/2018 14:00,LX1,$3439.50,,$480.00,$5957.60,,($32.50),86.50%,81.01%,$0.70,$1.00
88,Buy,7/6/2018 10:15,LE2,$3394.50,$0.00,2,$446.60,1.33%,$530.00,96.80%,,$0.70,$1.00
,Sell,7/10/2018 14:00,LX2,$3439.50,,$450.00,$6404.20,,($17.50),85.39%,82.19%,$0.70,$1.00
89,Buy,7/6/2018 10:30,LE3,$3395.75,$0.00,4,$868.20,1.29%,$1035.00,95.39%,,$1.40,$2.00
,Sell,7/10/2018 14:00,LX3,$3439.50,,$875.00,$7272.40,,($50.00),85.25%,80.65%,$1.40,$2.00
90,Buy,7/13/2018 11:30,LE1,$3455.00,$0.00,2,($28.40),-0.07%,$37.50,42.86%,,$0.70,$1.00
,Sell,7/16/2018 07:00,LX1,$3452.50,,($25.00),$7244.00,,($50.00),28.57%,-28.57%,$0.70,$1.00
91,Buy,7/13/2018 11:45,LE2,$3454.50,$0.00,4,($46.80),-0.06%,$85.00,48.57%,,$1.40,$2.00
,Sell,7/16/2018 07:00,LX2,$3452.50,,($40.00),$7197.20,,($90.00),28.57%,-22.86%,$1.40,$2.00
